id,type,metric,RMSE,MAE,K
0,item,cosine,1.1850399695499156,0.912231509196318,1
1,item,msd,1.1738905542918339,0.8988330513808551,1
2,item,pearson,1.178050895956154,0.9020590592800948,1
3,item,cosine,1.0723927410237617,0.8263486379919465,2
4,item,msd,1.060343595870424,0.8153033793254677,2
5,item,pearson,1.0664929359091087,0.8181903947857696,2
6,item,cosine,1.0271065953527825,0.7894400687483226,3
7,item,msd,1.0151642085058652,0.7804505591586526,3
8,item,pearson,1.027384835311718,0.7870432793376906,3
9,item,cosine,1.0077368581153645,0.77473443460122,4
10,item,msd,0.9885704166237682,0.759565081159743,4
11,item,pearson,1.0042633935650187,0.7683862576680422,4
12,item,cosine,0.9906038831203616,0.7605897526544994,5
13,item,msd,0.9746502445360458,0.7497650690458346,5
14,item,pearson,0.9871354011858692,0.7556953584745275,5
15,item,cosine,0.9785985942067569,0.7519065067135713,6
16,item,msd,0.9648292804932341,0.7426798335087432,6
17,item,pearson,0.9748990953020872,0.7453731324988804,6
18,item,cosine,0.9684165846288147,0.7428677676525021,7
19,item,msd,0.9550502234040291,0.7333498746220217,7
20,item,pearson,0.9692409923275251,0.7405602559111771,7
21,item,cosine,0.9667570684045659,0.7408197579332114,8
22,item,msd,0.9504763737806652,0.7312735195850997,8
23,item,pearson,0.9644393371163261,0.7360059380807481,8
24,item,cosine,0.9619088796617816,0.7382368583956747,9
25,item,msd,0.9476984640396351,0.7280961204292663,9
26,item,pearson,0.9591989814724341,0.7327032349463176,9
27,item,cosine,0.9576606948958648,0.7337570526588382,10
28,item,msd,0.9426428676116512,0.7240188909626928,10
29,item,pearson,0.9548346018248518,0.7287108746425858,10
30,item,cosine,0.9537894539905281,0.7324772239426809,11
31,item,msd,0.937322201757133,0.7195615024849331,11
32,item,pearson,0.9512702487595608,0.7257166591538646,11
33,item,cosine,0.9511864694608931,0.730893160702759,12
34,item,msd,0.9360631925929658,0.7179853708365653,12
35,item,pearson,0.9486840387324674,0.7240395760432523,12
36,item,cosine,0.9450248705828583,0.7249828626753155,13
37,item,msd,0.9341473592735413,0.7165183675050948,13
38,item,pearson,0.9449741787294007,0.7221518235245166,13
39,item,cosine,0.9470919027867103,0.726487442608333,14
40,item,msd,0.930172876573583,0.7145439061098339,14
41,item,pearson,0.9443445341860892,0.7209232446941111,14
42,item,cosine,0.943833590562132,0.724531432572269,15
43,item,msd,0.9304963379124915,0.7141059697048501,15
44,item,pearson,0.9441911059590421,0.7205852852302912,15
45,item,cosine,0.9415654769510567,0.7228799764812622,16
46,item,msd,0.9275005782013015,0.7118380188244622,16
47,item,pearson,0.9391233749184822,0.7170465659494096,16
48,item,cosine,0.9405250056261446,0.7210592843071187,17
49,item,msd,0.9258970102966746,0.7104687499952473,17
50,item,pearson,0.9402568892471995,0.7172319312241118,17
51,item,cosine,0.9394105448194235,0.7207472492362385,18
52,item,msd,0.924442852136249,0.709644691194726,18
53,item,pearson,0.9396885374215224,0.7161856616133087,18
54,item,cosine,0.9385904924384855,0.7198419079783414,19
55,item,msd,0.9253280702473166,0.7091397848741444,19
