id,type,metric,RMSE,MAE,K
0,user,cosine,1.1711107603767343,0.9033505082206812,1
1,user,msd,1.1468042772735085,0.8846348739397026,1
2,user,pearson,1.1766399872540425,0.9059272733096568,1
3,user,cosine,1.0537279308457592,0.8162570058476432,2
4,user,msd,1.035515555863701,0.8000164892239034,2
5,user,pearson,1.0552263619975073,0.8155061293793597,2
6,user,cosine,1.0019103154250766,0.7750293946206381,3
7,user,msd,0.9933611360999125,0.7669738141766783,3
8,user,pearson,1.0061790347680328,0.7745545253068188,3
9,user,cosine,0.9808224349285213,0.7580328999902821,4
10,user,msd,0.9695435247780779,0.7479106788271276,4
11,user,pearson,0.9787704406268369,0.7544214320942645,4
12,user,cosine,0.9639857444547285,0.7443803562801679,5
13,user,msd,0.9572772802075094,0.7381525334897969,5
14,user,pearson,0.9645372202896549,0.7408891105803654,5
15,user,cosine,0.9551313010033423,0.7380793151099507,6
16,user,msd,0.9488421557724311,0.7309874960696991,6
17,user,pearson,0.9565722329226979,0.7340064468505656,6
18,user,cosine,0.9482304999989257,0.7317002501871779,7
19,user,msd,0.9425836621580693,0.7260668968304019,7
20,user,pearson,0.9498913324863757,0.7280112712242286,7
21,user,cosine,0.9435715383668655,0.727835306927431,8
22,user,msd,0.9382585719226644,0.7227536162875043,8
23,user,pearson,0.9439834187043676,0.7229732616027607,8
24,user,cosine,0.939073882751908,0.7231739582450908,9
25,user,msd,0.9338961431938401,0.717398942461155,9
26,user,pearson,0.9396938312192624,0.719692070936006,9
27,user,cosine,0.9378966502369825,0.7227507719984545,10
28,user,msd,0.9312268157404897,0.7158560042405523,10
29,user,pearson,0.9369531197705298,0.7168586300896413,10
30,user,cosine,0.9345003608899294,0.7185302023645992,11
31,user,msd,0.9285660434430494,0.7132694310055278,11
32,user,pearson,0.9344862179500483,0.7142902983735364,11
33,user,cosine,0.9326908864514281,0.7174030322176195,12
34,user,msd,0.92801183867912,0.713033606539637,12
35,user,pearson,0.9343281318889185,0.7143324966583267,12
36,user,cosine,0.9313283853527207,0.716603702636041,13
37,user,msd,0.9269776514918193,0.7115552034264365,13
38,user,pearson,0.9295173188299476,0.7106009658760378,13
39,user,cosine,0.9295005091212634,0.7148972114425101,14
40,user,msd,0.9255868608739772,0.7101618692073791,14
41,user,pearson,0.9302200573735897,0.7110758108768812,14
42,user,cosine,0.9285047968583567,0.714013557441705,15
43,user,msd,0.9247138951871052,0.7101251385802841,15
44,user,pearson,0.9296437900424367,0.7103118612847247,15
45,user,cosine,0.927050957324058,0.7126897562050468,16
46,user,msd,0.9236853370990475,0.7089888649605458,16
47,user,pearson,0.9288888526725086,0.7091606917647794,16
48,user,cosine,0.9274064563744993,0.7123756179593045,17
49,user,msd,0.9240940308710069,0.7084640169360343,17
50,user,pearson,0.9288669167603055,0.7095177397435039,17
51,user,cosine,0.9254598658115991,0.7114287114734961,18
52,user,msd,0.9209901256650014,0.7063710577871319,18
53,user,pearson,0.9270087152969708,0.7080118614985365,18
54,user,cosine,0.9243319238959057,0.7103968386161045,19
55,user,msd,0.9221851954759159,0.7069672932493931,19
56,user,pearson,0.9273105666524588,0.7076115717049618,19
57,user,cosine,0.9275113179146552,0.712164705631037,20
58,user,msd,0.9226690813920883,0.7078147891254989,20
59,user,pearson,0.926053438712103,0.7070317212440884,20
60,user,cosine,0.9246363881101795,0.7104061736558982,21
61,user,msd,0.9199551018717411,0.705347997377112,21
62,user,pearson,0.9263019222013054,0.7067060761220951,21
63,user,cosine,0.9238835238253411,0.7092799511827939,22
64,user,msd,0.9220064548736889,0.7067213373005303,22
65,user,pearson,0.9261721736266073,0.7059267628930064,22
66,user,cosine,0.9237497907260825,0.7093594261183549,23
67,user,msd,0.9202967286938739,0.7054334747478244,23
68,user,pearson,0.9254617483722791,0.7063339869763461,23
69,user,cosine,0.924062395667886,0.7092091459057345,24
70,user,msd,0.9199840204225707,0.705367662299485,24
71,user,pearson,0.9243649556714159,0.7057448422308453,24
72,user,cosine,0.9241477479699451,0.7093532545149548,25
73,user,msd,0.9211794113268397,0.7056134059400069,25
74,user,pearson,0.9257434748622287,0.706533872649398,25
75,user,cosine,0.9240435094799316,0.709276559510927,26
76,user,msd,0.9207568662644979,0.7057851275280331,26
77,user,pearson,0.9244668419057562,0.7051427295738024,26
78,user,cosine,0.9224633914386388,0.7083529665016072,27
79,user,msd,0.9198279197079173,0.7049246319298138,27
80,user,pearson,0.9222405743136315,0.7032975521496412,27
81,user,cosine,0.921279744184463,0.7071739149741346,28
82,user,msd,0.9200648114368789,0.704842977048646,28
83,user,pearson,0.9247079741773577,0.7050596692711008,28
84,user,cosine,0.9234366956632561,0.708300370601602,29
85,user,msd,0.9197581064356092,0.7050498053709223,29
86,user,pearson,0.9235662536917199,0.7048589730478627,29
87,user,cosine,0.922576953345988,0.7075598213584955,30
88,user,msd,0.9182658199872653,0.7034199907638878,30
89,user,pearson,0.9232436630311669,0.7044703322927927,30
90,user,cosine,0.922767374085398,0.7079875095000621,31
91,user,msd,0.9189235766604394,0.7033734522323425,31
92,user,pearson,0.9252157880245877,0.7059455544038752,31
93,user,cosine,0.9216899184630882,0.7072678199103182,32
94,user,msd,0.9187837237216916,0.7035794728760736,32
95,user,pearson,0.9233494045353311,0.7046486620091961,32
96,user,cosine,0.9221126661596746,0.7069438543697387,33
97,user,msd,0.9187717534777324,0.7037675880103897,33
98,user,pearson,0.9238646220294443,0.7048768762426165,33
99,user,cosine,0.9225847538683342,0.7074825026081845,34
100,user,msd,0.9188686056473763,0.7034211805203183,34
101,user,pearson,0.9238246694032185,0.7048769294721491,34
102,user,cosine,0.9225224474577216,0.7076725772495008,35
103,user,msd,0.9179324091864471,0.7028876010550847,35
104,user,pearson,0.9232598534837446,0.704189370362976,35
105,user,cosine,0.9215971057808845,0.7070682378465216,36
106,user,msd,0.9186168113249025,0.7030863170873104,36
107,user,pearson,0.9223739206227851,0.70408810667266,36
108,user,cosine,0.9228488863938769,0.7071357092586845,37
109,user,msd,0.9198154397639591,0.7038461261970181,37
110,user,pearson,0.9248902048667309,0.7049903580678716,37
111,user,cosine,0.9230137496358118,0.7073613505133729,38
112,user,msd,0.9194435979356854,0.7038641703088089,38
113,user,pearson,0.9244497547858274,0.7048869141133206,38
114,user,cosine,0.9228120838273798,0.7073153379427961,39
115,user,msd,0.9185471547828008,0.7033420444546586,39
116,user,pearson,0.9229458739912184,0.7036318493010455,39
117,user,cosine,0.9219198251601526,0.7068811591310391,40
118,user,msd,0.9191731000304086,0.7035485187996736,40
